orig	TC2SC	TC2PYstrict	TC2PYlazy	
全体	全体	quántǐ	quanti	
全部	全部	quánbù	quanbu	
八	八	bā	ba	
六	六	liù	liu	
兮	兮	xī	xi	
共	共	gòng	gong	
关于	关于	guānyú	guanyu	
关于具体地说	关于具体地说	guānyújùtǐdeshuō	guanyujutideshuo	
其	其	qí	qi	
其一	其一	qíyī	qiyi	
其中	其中	qízhōng	qizhong	
其二	其二	qíèr	qier	
其他	其他	qítā	qita	
其余	其余	qíyú	qiyu	
其它	其它	qítā	qita	
其次	其次	qícì	qici	
具体地说	具体地说	jùtǐdeshuō	jutideshuo	
具体说来	具体说来	jùtǐshuōlái	jutishuolai	
兼之	兼之	jiānzhī	jianzhi	
内	内	nèi	nei	
再	再	zài	zai	
再其次	再其次	zàiqícì	zaiqici	
再则	再则	zàizé	zaize	
再有	再有	zàiyǒu	zaiyou	
再者	再者	zàizhě	zaizhe	
再者说	再者说	zàizhěshuō	zaizheshuo	
再说	再说	zàishuō	zaishuo	
冒	冒	mào	mao	
冲	冲	chōng	chong	
况且	况且	kuàngqiě	kuangqie	
几	几	jǐ	ji	
几时	几时	jǐshí	jishi	
凡	凡	fán	fan	
凡是	凡是	fánshì	fanshi	
凭	凭	píng	ping	
凭借	凭借	píngjiè	pingjie	
出于	出于	chūyú	chuyu	
出来	出来	chūlái	chulai	
分	分	fēn	fen	
分别	分别	fēnbié	fenbie	
则	则	zé	ze	
则甚	则甚	zéshén	zeshen	
别	别	bié	bie	
别人	别人	biérén	bieren	
别处	别处	biéchù	biechu	
别是	别是	biéshì	bieshi	
别的	别的	biéde	biede	
别管	别管	biéguǎn	bieguan	
别说	别说	biéshuō	bieshuo	
到	到	dào	dao	
前后	前后	qiánhòu	qianhou	
前此	前此	qiáncǐ	qianci	
前者	前者	qiánzhě	qianzhe	
加之	加之	jiāzhī	jiazhi	
加以	加以	jiāyǐ	jiayi	
即	即	jí	ji	
即令	即令	jílìng	jiling	
即使	即使	jíshǐ	jishi	
即便	即便	jíbiàn	jibian	
即如	即如	jírú	jiru	
即或	即或	jíhuò	jihuo	
即若	即若	jíruò	jiruo	
却	却	què	que	
去	去	qù	qu	
又	又	yòu	you	
又及	又及	yòují	youji	
及	及	jí	ji	
及其	及其	jíqí	jiqi	
及至	及至	jízhì	jizhi	
反之	反之	fǎnzhī	fanzhi	
反而	反而	fǎnér	faner	
反过来	反过来	fǎnguòlái	fanguolai	
反过来说	反过来说	fǎnguòláishuō	fanguolaishuo	
受到	受到	shòudào	shoudao	
另	另	lìng	ling	
另一方面	另一方面	lìngyīfāngmiàn	lingyifangmian	
另外	另外	lìngwài	lingwai	
另悉	另悉	lìngxī	lingxi	
只	只	zhǐ	zhi	
只当	只当	zhǐdāng	zhidang	
只怕	只怕	zhǐpà	zhipa	
只是	只是	zhǐshì	zhishi	
只有	只有	zhǐyǒu	zhiyou	
只消	只消	zhǐxiāo	zhixiao	
只要	只要	zhǐyào	zhiyao	
只限	只限	zhǐxiàn	zhixian	
叫	叫	jiào	jiao	
叮咚	叮咚	dīngdōng	dingdong	
可	可	kě	ke	
可以	可以	kěyǐ	keyi	
可是	可是	kěshì	keshi	
可见	可见	kějiàn	kejian	
各	各	gè	ge	
各个	各个	gègè	gege	
各位	各位	gèwèi	gewei	
各种	各种	gèzhǒng	gezhong	
各自	各自	gèzì	gezi	
同	同	tóng	tong	
同时	同时	tóngshí	tongshi	
后	后	hòu	hou	
后者	后者	hòuzhě	houzhe	
向	向	xiàng	xiang	
向使	向使	xiàngshǐ	xiangshi	
向着	向着	xiàngzhe	xiangzhe	
吓	吓	xià	xia	
吗	吗	ma	ma	
否则	否则	fǒuzé	fouze	
吧	吧	ba	ba	
吧哒	吧哒	badá	bada	
含	含	hán	han	
吱	吱	zhī	zhi	
呀	呀	ya	ya	
呃	呃	è	e	
呕	呕	ǒu	ou	
呗	呗	bei	bei	
呜	呜	wū	wu	
呜呼	呜呼	wūhū	wuhu	
呢	呢	ne	ne	
呵	呵	hē	he	
呵呵	呵呵	hēhē	hehe	
呸	呸	pēi	pei	
呼哧	呼哧	hūchī	huchi	
咋	咋	zǎ	za	
和	和	hé	he	
咚	咚	dōng	dong	
咦	咦	yí	yi	
咧	咧	liě	lie	
咱	咱	zán	zan	
咱们	咱们	zánmen	zanmen	
咳	咳	hāi	hai	
哇	哇	wa	wa	
哈	哈	hā	ha	
哈哈	哈哈	hāhā	haha	
哉	哉	zāi	zai	
哎	哎	āi	ai	
哎呀	哎呀	āiya	aiya	
哎哟	哎哟	āiyō	aiyo	
哗	哗	huā	hua	
哟	哟	yō	yo	
哦	哦	ó	o	
哩	哩	lī	li	
哪	哪	nǎ	na	
哪个	哪个	nǎgè	nage	
哪些	哪些	nǎxiē	naxie	
哪儿	哪儿	nǎér	naer	
哪天	哪天	nǎtiān	natian	
哪年	哪年	nǎnián	nanian	
哪怕	哪怕	nǎpà	napa	
哪样	哪样	nǎyàng	nayang	
哪边	哪边	nǎbiān	nabian	
哪里	哪里	nǎlǐ	nali	
哼	哼	hēng	heng	
哼唷	哼唷	hēngyō	hengyo	
唉	唉	āi	ai	
唯有	唯有	wéiyǒu	weiyou	
啊	啊	a	a	
啐	啐	cuì	cui	
啥	啥	shà	sha	
啦	啦	la	la	
啪达	啪达	pādá	pada	
啷当	啷当	lāngdāng	langdang	
喂	喂	wèi	wei	
喏	喏	nuò	nuo	
喔唷	喔唷	ōyō	oyo	
喽	喽	lóu	lou	
嗡	嗡	wēng	weng	
嗡嗡	嗡嗡	wēngwēng	wengweng	
嗬	嗬	hē	he	
嗯	嗯	ń	ń	
嗳	嗳	āi	ai	
嘎	嘎	gā	ga	
嘎登	嘎登	gādēng	gadeng	
嘘	嘘	xū	xu	
嘛	嘛	ma	ma	
嘻	嘻	xī	xi	
嘿	嘿	hēi	hei	
嘿嘿	嘿嘿	hēihēi	heihei	
四	四	sì	si	
因	因	yīn	yin	
因为	因为	yīnwèi	yinwei	
因了	因了	yīnle	yinle	
因此	因此	yīncǐ	yinci	
因着	因着	yīnzhe	yinzhe	
因而	因而	yīnér	yiner	
固然	固然	gùrán	guran	
在	在	zài	zai	
在下	在下	zàixià	zaixia	
在于	在于	zàiyú	zaiyu	
地	地	de	de	
基于	基于	jīyú	jiyu	
处在	处在	chùzài	chuzai	
多	多	duō	duo	
多么	多么	duōme	duome	
多少	多少	duōshǎo	duoshao	
大	大	dà	da	
大家	大家	dàjiā	dajia	
她	她	tā	ta	
她们	她们	tāmen	tamen	
好	好	hǎo	hao	
如	如	rú	ru	
如上	如上	rúshàng	rushang	
如上所述	如上所述	rúshàngsuǒshù	rushangsuoshu	
如下	如下	rúxià	ruxia	
如何	如何	rúhé	ruhe	
如其	如其	rúqí	ruqi	
如同	如同	rútóng	rutong	
如是	如是	rúshì	rushi	
如果	如果	rúguǒ	ruguo	
如此	如此	rúcǐ	ruci	
如若	如若	rúruò	ruruo	
始而	始而	shǐér	shier	
孰料	孰料	shúliào	shuliao	
孰知	孰知	shúzhī	shuzhi	
宁	宁	níng	ning	
宁可	宁可	níngkě	ningke	
宁愿	宁愿	níngyuàn	ningyuan	
宁肯	宁肯	níngkěn	ningken	
它	它	tā	ta	
它们	它们	tāmen	tamen	
对	对	duì	dui	
对于	对于	duìyú	duiyu	
对待	对待	duìdài	duidai	
对方	对方	duìfāng	duifang	
对比	对比	duìbǐ	duibi	
将	将	jiāng	jiang	
小	小	xiǎo	xiao	
尔	尔	ěr	er	
尔后	尔后	ěrhòu	erhou	
尔尔	尔尔	ěrěr	erer	
尚且	尚且	shàngqiě	shangqie	
就	就	jiù	jiu	
就是	就是	jiùshì	jiushi	
就是了	就是了	jiùshìle	jiushile	
就是说	就是说	jiùshìshuō	jiushishuo	
就算	就算	jiùsuàn	jiusuan	
就要	就要	jiùyào	jiuyao	
尽	尽	jǐn	jin	
尽管	尽管	jǐnguǎn	jinguan	
尽管如此	尽管如此	jǐnguǎnrúcǐ	jinguanruci	
岂但	岂但	qǐdàn	qidan	
己	己	jǐ	ji	
已	已	yǐ	yi	
已矣	已矣	yǐyǐ	yiyi	
巴	巴	bā	ba	
巴巴	巴巴	bābā	baba	
年	年	nián	nian	
并	并	bìng	bing	
并且	并且	bìngqiě	bingqie	
庶乎	庶乎	shùhū	shuhu	
庶几	庶几	shùjǐ	shuji	
开外	开外	kāiwài	kaiwai	
开始	开始	kāishǐ	kaishi	
归	归	guī	gui	
归齐	归齐	guīqí	guiqi	
当	当	dāng	dang	
当地	当地	dāngde	dangde	
当然	当然	dāngrán	dangran	
当着	当着	dāngzhe	dangzhe	
彼	彼	bǐ	bi	
彼时	彼时	bǐshí	bishi	
彼此	彼此	bǐcǐ	bici	
往	往	wǎng	wang	
待	待	dài	dai	
很	很	hěn	hen	
得	得	dé	de	
得了	得了	déle	dele	
怎	怎	zěn	zen	
怎么	怎么	zěnme	zenme	
怎么办	怎么办	zěnmebàn	zenmeban	
怎么样	怎么样	zěnmeyàng	zenmeyang	
怎奈	怎奈	zěnnài	zennai	
怎样	怎样	zěnyàng	zenyang	
总之	总之	zǒngzhī	zongzhi	
总的来看	总的来看	zǒngdeláikàn	zongdelaikan	
总的来说	总的来说	zǒngdeláishuō	zongdelaishuo	
总的说来	总的说来	zǒngdeshuōlái	zongdeshuolai	
总而言之	总而言之	zǒngéryánzhī	zongeryanzhi	
恰恰相反	恰恰相反	qiàqiàxiāngfǎn	qiaqiaxiangfan	
您	您	nín	nin	
惟其	惟其	wéiqí	weiqi	
慢说	慢说	mànshuō	manshuo	
我	我	wǒ	wo	
我们	我们	wǒmen	women	
或	或	huò	huo	
或则	或则	huòzé	huoze	
或是	或是	huòshì	huoshi	
或曰	或曰	huòyuē	huoyue	
或者	或者	huòzhě	huozhe	
截至	截至	jiézhì	jiezhi	
所	所	suǒ	suo	
所以	所以	suǒyǐ	suoyi	
所在	所在	suǒzài	suozai	
所幸	所幸	suǒxìng	suoxing	
所有	所有	suǒyǒu	suoyou	
才	才	cái	cai	
才能	才能	cáinéng	caineng	
打	打	dǎ	da	
打从	打从	dǎcóng	dacong	
把	把	bǎ	ba	
抑或	抑或	yìhuò	yihuo	
拿	拿	ná	na	
按	按	àn	an	
按照	按照	ànzhào	anzhao	
换句话说	换句话说	huànjùhuàshuō	huanjuhuashuo	
换言之	换言之	huànyánzhī	huanyanzhi	
据	据	jù	ju	
据此	据此	jùcǐ	juci	
接着	接着	jiēzhe	jiezhe	
故	故	gù	gu	
故此	故此	gùcǐ	guci	
故而	故而	gùér	guer	
旁人	旁人	pángrén	pangren	
无	无	wú	wu	
无宁	无宁	wúníng	wuning	
无论	无论	wúlùn	wulun	
既	既	jì	ji	
既往	既往	jìwǎng	jiwang	
既是	既是	jìshì	jishi	
既然	既然	jìrán	jiran	
日	日	rì	ri	
时	时	shí	shi	
时候	时候	shíhòu	shihou	
是	是	shì	shi	
是以	是以	shìyǐ	shiyi	
是的	是的	shìde	shide	
更	更	gèng	geng	
曾	曾	céng	ceng	
替	替	tì	ti	
替代	替代	tìdài	tidai	
最	最	zuì	zui	
月	月	yuè	yue	
有	有	yǒu	you	
有些	有些	yǒuxiē	youxie	
有关	有关	yǒuguān	youguan	
有及	有及	yǒují	youji	
有时	有时	yǒushí	youshi	
有的	有的	yǒude	youde	
望	望	wàng	wang	
朝	朝	cháo	chao	
朝着	朝着	cháozhe	chaozhe	
本	本	běn	ben	
本人	本人	běnrén	benren	
本地	本地	běnde	bende	
本着	本着	běnzhe	benzhe	
本身	本身	běnshēn	benshen	
来	来	lái	lai	
来着	来着	láizhe	laizhe	
来自	来自	láizì	laizi	
来说	来说	láishuō	laishuo	
极了	极了	jíle	jile	
果然	果然	guǒrán	guoran	
果真	果真	guǒzhēn	guozhen	
某	某	mǒu	mou	
某个	某个	mǒugè	mouge	
某些	某些	mǒuxiē	mouxie	
某某	某某	mǒumǒu	moumou	
根据	根据	gēnjù	genju	
欤	欤	yú	yu	
正值	正值	zhèngzhí	zhengzhi	
正如	正如	zhèngrú	zhengru	
正巧	正巧	zhèngqiǎo	zhengqiao	
正是	正是	zhèngshì	zhengshi	
此	此	cǐ	ci	
此地	此地	cǐde	cide	
此处	此处	cǐchù	cichu	
此外	此外	cǐwài	ciwai	
此时	此时	cǐshí	cishi	
此次	此次	cǐcì	cici	
此间	此间	cǐjiān	cijian	
毋宁	毋宁	wúníng	wuning	
每	每	měi	mei	
每当	每当	měidāng	meidang	
比	比	bǐ	bi	
比及	比及	bǐjí	biji	
比如	比如	bǐrú	biru	
比方	比方	bǐfāng	bifang	
没奈何	没奈何	méinàihé	meinaihe	
沿	沿	yán	yan	
沿着	沿着	yánzhe	yanzhe	
漫说	漫说	mànshuō	manshuo	
焉	焉	yān	yan	
然则	然则	ránzé	ranze	
然后	然后	ránhòu	ranhou	
然而	然而	ránér	raner	
照	照	zhào	zhao	
照着	照着	zhàozhe	zhaozhe	
犹且	犹且	yóuqiě	youqie	
犹自	犹自	yóuzì	youzi	
甚且	甚且	shénqiě	shenqie	
甚么	甚么	shénme	shenme	
甚或	甚或	shénhuò	shenhuo	
甚而	甚而	shénér	shener	
甚至	甚至	shénzhì	shenzhi	
甚至于	甚至于	shénzhìyú	shenzhiyu	
用	用	yòng	yong	
用来	用来	yònglái	yonglai	
由	由	yóu	you	
由于	由于	yóuyú	youyu	
由是	由是	yóushì	youshi	
由此	由此	yóucǐ	youci	
由此可见	由此可见	yóucǐkějiàn	youcikejian	
的	的	de	de	
的确	的确	dequè	deque	
的话	的话	dehuà	dehua	
直到	直到	zhídào	zhidao	
相对而言	相对而言	xiāngduìéryán	xiangduieryan	
省得	省得	shěngdé	shengde	
看	看	kàn	kan	
眨眼	眨眼	zhǎyǎn	zhayan	
着	着	zhe	zhe	
着呢	着呢	zhene	zhene	
矣	矣	yǐ	yi	
矣乎	矣乎	yǐhū	yihu	
矣哉	矣哉	yǐzāi	yizai	
离	离	lí	li	
秒	秒	miǎo	miao	
竟而	竟而	jìngér	jinger	
第	第	dì	di	
等	等	děng	deng	
等到	等到	děngdào	dengdao	
等等	等等	děngděng	dengdeng	
简言之	简言之	jiǎnyánzhī	jianyanzhi	
管	管	guǎn	guan	
类如	类如	lèirú	leiru	
紧接着	紧接着	jǐnjiēzhe	jinjiezhe	
纵	纵	zòng	zong	
纵令	纵令	zònglìng	zongling	
纵使	纵使	zòngshǐ	zongshi	
纵然	纵然	zòngrán	zongran	
经	经	jīng	jing	
经过	经过	jīngguò	jingguo	
结果	结果	jiéguǒ	jieguo	
给	给	gěi	gei	
继之	继之	jìzhī	jizhi	
继后	继后	jìhòu	jihou	
继而	继而	jìér	jier	
综上所述	综上所述	zōngshàngsuǒshù	zongshangsuoshu	
罢了	罢了	bàle	bale	
者	者	zhě	zhe	
而	而	ér	er	
而且	而且	érqiě	erqie	
而况	而况	érkuàng	erkuang	
而后	而后	érhòu	erhou	
而外	而外	érwài	erwai	
而已	而已	éryǐ	eryi	
而是	而是	érshì	ershi	
而言	而言	éryán	eryan	
能	能	néng	neng	
能否	能否	néngfǒu	nengfou	
腾	腾	téng	teng	
自	自	zì	zi	
自个儿	自个儿	zìgèér	zigeer	
自从	自从	zìcóng	zicong	
自各儿	自各儿	zìgèér	zigeer	
自后	自后	zìhòu	zihou	
自家	自家	zìjiā	zijia	
自己	自己	zìjǐ	ziji	
自打	自打	zìdǎ	zida	
自身	自身	zìshēn	zishen	
至	至	zhì	zhi	
至于	至于	zhìyú	zhiyu	
至今	至今	zhìjīn	zhijin	
至若	至若	zhìruò	zhiruo	
致	致	zhì	zhi	
般的	般的	bānde	bande	
若	若	ruò	ruo	
若夫	若夫	ruòfū	ruofu	
若是	若是	ruòshì	ruoshi	
若果	若果	ruòguǒ	ruoguo	
若非	若非	ruòfēi	ruofei	
莫不然	莫不然	mòbùrán	moburan	
莫如	莫如	mòrú	moru	
莫若	莫若	mòruò	moruo	
虽	虽	suī	sui	
虽则	虽则	suīzé	suize	
虽然	虽然	suīrán	suiran	
虽说	虽说	suīshuō	suishuo	
被	被	bèi	bei	
要	要	yào	yao	
要不	要不	yàobù	yaobu	
要不是	要不是	yàobùshì	yaobushi	
要不然	要不然	yàobùrán	yaoburan	
要么	要么	yàome	yaome	
要是	要是	yàoshì	yaoshi	
譬喻	譬喻	pìyù	piyu	
譬如	譬如	pìrú	piru	
让	让	ràng	rang	
许多	许多	xǔduō	xuduo	
论	论	lùn	lun	
设使	设使	shèshǐ	sheshi	
设或	设或	shèhuò	shehuo	
设若	设若	shèruò	sheruo	
诚如	诚如	chéngrú	chengru	
诚然	诚然	chéngrán	chengran	
该	该	gāi	gai	
说	说	shuō	shuo	
说来	说来	shuōlái	shuolai	
请	请	qǐng	qing	
诸	诸	zhū	zhu	
诸位	诸位	zhūwèi	zhuwei	
诸如	诸如	zhūrú	zhuru	
谁	谁	shéi	shei	
谁人	谁人	shéirén	sheiren	
谁料	谁料	shéiliào	sheiliao	
谁知	谁知	shéizhī	sheizhi	
贼死	贼死	zéisǐ	zeisi	
赖以	赖以	làiyǐ	laiyi	
赶	赶	gǎn	gan	
起	起	qǐ	qi	
起见	起见	qǐjiàn	qijian	
趁	趁	chèn	chen	
趁着	趁着	chènzhe	chenzhe	
越是	越是	yuèshì	yueshi	
距	距	jù	ju	
跟	跟	gēn	gen	
较	较	jiào	jiao	
较之	较之	jiàozhī	jiaozhi	
边	边	biān	bian	
过	过	guò	guo	
还	还	hái	hai	
还是	还是	háishì	haishi	
还有	还有	háiyǒu	haiyou	
还要	还要	háiyào	haiyao	
这	这	zhè	zhe	
这一来	这一来	zhèyīlái	zheyilai	
这个	这个	zhègè	zhege	
这么	这么	zhème	zheme	
这么些	这么些	zhèmexiē	zhemexie	
这么样	这么样	zhèmeyàng	zhemeyang	
这么点儿	这么点儿	zhèmediǎnér	zhemedianer	
这些	这些	zhèxiē	zhexie	
这会儿	这会儿	zhèhuìér	zhehuier	
这儿	这儿	zhèér	zheer	
这就是说	这就是说	zhèjiùshìshuō	zhejiushishuo	
这时	这时	zhèshí	zheshi	
这样	这样	zhèyàng	zheyang	
这次	这次	zhècì	zheci	
这般	这般	zhèbān	zheban	
这边	这边	zhèbiān	zhebian	
这里	这里	zhèlǐ	zheli	
进而	进而	jìnér	jiner	
连	连	lián	lian	
连同	连同	liántóng	liantong	
逐步	逐步	zhúbù	zhubu	
通过	通过	tōngguò	tongguo	
遵循	遵循	zūnxún	zunxun	
遵照	遵照	zūnzhào	zunzhao	
那	那	nà	na	
那个	那个	nàgè	nage	
那么	那么	nàme	name	
那么些	那么些	nàmexiē	namexie	
那么样	那么样	nàmeyàng	nameyang	
那些	那些	nàxiē	naxie	
那会儿	那会儿	nàhuìér	nahuier	
那儿	那儿	nàér	naer	
那时	那时	nàshí	nashi	
那样	那样	nàyàng	nayang	
那般	那般	nàbān	naban	
那边	那边	nàbiān	nabian	
那里	那里	nàlǐ	nali	
都	都	dōu	dou	
鄙人	鄙人	bǐrén	biren	
鉴于	鉴于	jiànyú	jianyu	
针对	针对	zhēnduì	zhendui	
阿	阿	ā	a	
除	除	chú	chu	
除了	除了	chúle	chule	
除外	除外	chúwài	chuwai	
除开	除开	chúkāi	chukai	
除此之外	除此之外	chúcǐzhīwài	chucizhiwai	
除非	除非	chúfēi	chufei	
随	随	suí	sui	
随后	随后	suíhòu	suihou	
随时	随时	suíshí	suishi	
随着	随着	suízhe	suizhe	
难道说	难道说	nándàoshuō	nandaoshuo	
零	零	líng	ling	
非	非	fēi	fei	
非但	非但	fēidàn	feidan	
非徒	非徒	fēitú	feitu	
非特	非特	fēitè	feite	
非独	非独	fēidú	feidu	
靠	靠	kào	kao	
顺	顺	shùn	shun	
顺着	顺着	shùnzhe	shunzhe	
首先	首先	shǒuxiān	shouxian	
